Timestamp;Latitude;Longitude;Azimuth;Altitude
1609517400.0;-7.921179;112.599392;190.361689;-58.613665
1609518000.0;-7.921179;112.599392;185.971913;-58.966157
1609518600.0;-7.921179;112.599392;181.507633;-59.12834
1609519200.0;-7.921179;112.599392;177.024078;-59.097208
1609519800.0;-7.921179;112.599392;172.577857;-58.873341
1609520400.0;-7.921179;112.599392;168.222915;-58.460853
1609521000.0;-7.921179;112.599392;164.006803;-57.867009
1609521600.0;-7.921179;112.599392;159.968085;-57.101672
1609522200.0;-7.921179;112.599392;156.135133;-56.176499
1609522800.0;-7.921179;112.599392;152.526088;-55.104248
1609523400.0;-7.921179;112.599392;149.149857;-53.898058
1609524000.0;-7.921179;112.599392;146.007629;-52.570935
1609524600.0;-7.921179;112.599392;143.094662;-51.135314
1609525200.0;-7.921179;112.599392;140.401997;-49.602828
1609525800.0;-7.921179;112.599392;137.917871;-47.984142
1609526400.0;-7.921179;112.599392;135.629006;-46.288902
1609527000.0;-7.921179;112.599392;133.521442;-44.52575
1609527600.0;-7.921179;112.599392;131.581245;-42.70236
1609528200.0;-7.921179;112.599392;129.794877;-40.825519
1609528800.0;-7.921179;112.599392;128.149566;-38.901209
1609529400.0;-7.921179;112.599392;126.63336;-36.934695
1609530000.0;-7.921179;112.599392;125.235316;-34.930598
1609530600.0;-7.921179;112.599392;123.94538;-32.892982
1609531200.0;-7.921179;112.599392;122.754496;-30.825422
1609531800.0;-7.921179;112.599392;121.654466;-28.731071
1609532400.0;-7.921179;112.599392;120.637943;-26.61271
1609533000.0;-7.921179;112.599392;119.698328;-24.472797
1609533600.0;-7.921179;112.599392;118.829746;-22.313516
1609534200.0;-7.921179;112.599392;118.026967;-20.13681
1609534800.0;-7.921179;112.599392;117.285331;-17.94441
1609535400.0;-7.921179;112.599392;116.600727;-15.737871
1609536000.0;-7.921179;112.599392;115.969536;-13.51859
1609536600.0;-7.921179;112.599392;115.388574;-11.287828
1609537200.0;-7.921179;112.599392;114.85504;-9.046728
1609537800.0;-7.921179;112.599392;114.366545;-6.726334
1609538400.0;-7.921179;112.599392;113.921019;-3.153724
1609539000.0;-7.921179;112.599392;113.51674;-1.303794
1609539600.0;-7.921179;112.599392;113.152267;0.471911
1609540200.0;-7.921179;112.599392;112.826481;2.539734
1609540800.0;-7.921179;112.599392;112.538527;4.731713
1609541400.0;-7.921179;112.599392;112.287832;6.97306
1609542000.0;-7.921179;112.599392;112.074108;9.237716
1609542600.0;-7.921179;112.599392;111.897357;11.515335
1609543200.0;-7.921179;112.599392;111.757864;13.800996
1609543800.0;-7.921179;112.599392;111.656224;16.092597
1609544400.0;-7.921179;112.599392;111.593366;18.386529
1609545000.0;-7.921179;112.599392;111.570573;20.682716
1609545600.0;-7.921179;112.599392;111.589527;22.980043
1609546200.0;-7.921179;112.599392;111.652344;25.277533
1609546800.0;-7.921179;112.599392;111.761641;27.574268
1609547400.0;-7.921179;112.599392;111.92062;29.869332
1609548000.0;-7.921179;112.599392;112.133135;32.161783
1609548600.0;-7.921179;112.599392;112.403815;34.450607
1609549200.0;-7.921179;112.599392;112.738208;36.734707
1609549800.0;-7.921179;112.599392;113.142965;39.012852
1609550400.0;-7.921179;112.599392;113.62605;41.283641
1609551000.0;-7.921179;112.599392;114.197027;43.545468
1609551600.0;-7.921179;112.599392;114.867389;45.796442
1609552200.0;-7.921179;112.599392;115.651058;48.03434
1609552800.0;-7.921179;112.599392;116.564896;50.256477
1609553400.0;-7.921179;112.599392;117.629463;52.459609
1609554000.0;-7.921179;112.599392;118.869921;54.639751
1609554600.0;-7.921179;112.599392;120.317211;56.791961
1609555200.0;-7.921179;112.599392;122.009513;58.910033
1609555800.0;-7.921179;112.599392;123.994011;60.986097
1609556400.0;-7.921179;112.599392;126.32898;63.010087
1609557000.0;-7.921179;112.599392;129.085944;64.969012
1609557600.0;-7.921179;112.599392;132.351499;66.845996
1609558200.0;-7.921179;112.599392;136.227522;68.61914
1609558800.0;-7.921179;112.599392;140.827504;70.260127
1609559400.0;-7.921179;112.599392;146.264813;71.73303
1609560000.0;-7.921179;112.599392;152.627284;72.99387
1609560600.0;-7.921179;112.599392;159.934084;73.992259
1609561200.0;-7.921179;112.599392;168.080929;74.676651
1609561800.0;-7.921179;112.599392;176.801468;75.003885
1609562400.0;-7.921179;112.599392;185.687422;74.950596
1609563000.0;-7.921179;112.599392;194.284704;74.520711
1609563600.0;-7.921179;112.599392;202.217763;73.744139
1609564200.0;-7.921179;112.599392;209.266491;72.66751
1609564800.0;-7.921179;112.599392;215.366233;71.342835
1609565400.0;-7.921179;112.599392;220.560496;69.819068
1609566000.0;-7.921179;112.599392;224.947772;68.137994
1609566600.0;-7.921179;112.599392;228.643342;66.333336
1609567200.0;-7.921179;112.599392;231.758181;64.431483
1609567800.0;-7.921179;112.599392;234.390072;62.452811
1609568400.0;-7.921179;112.599392;236.621303;60.41301
1609569000.0;-7.921179;112.599392;238.519495;58.324174
1609569600.0;-7.921179;112.599392;240.139643;56.195689
1609570200.0;-7.921179;112.599392;241.526226;54.034914
1609570800.0;-7.921179;112.599392;242.715253;51.847676
1609571400.0;-7.921179;112.599392;243.735902;49.638615
1609572000.0;-7.921179;112.599392;244.611996;47.411502
1609572600.0;-7.921179;112.599392;245.362962;45.1694
1609573200.0;-7.921179;112.599392;246.004781;42.914861
1609573800.0;-7.921179;112.599392;246.55065;40.650001
1609574400.0;-7.921179;112.599392;247.011469;38.376623
1609575000.0;-7.921179;112.599392;247.396364;36.096279
